marca;modelo;estado;cor;quilometragem;end_tag;combustivel;ano;cambio;unico_dono;tipo;versao;direcao;portas;extra;preco;
FIAT;UNO;mg;;76921;4;Flex;2013;Manual;;Passeio;UNO WAY 1.0 EVO FIRE FLEX 8V 2P;;4 portas;alarme, ar condicionado, direxe7xe3o hidrxe1ulica, trava elxe9trica, vidro elxe9trico;26900;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-2012-2013-1-0-evo-way-8v-flex-4p-manual-527362164?xtmc=fiat+uno&xtnp=1&xtcr=50;
FIAT;UNO;mg;;90000;;Flex;2011;;;;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 2P;;;;13000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-1-0-fire-11-12-559290371?xtmc=fiat+uno&xtnp=2&xtcr=1;
FIAT;UNO;mg;Vermelho;107000;;Gasolina;1998;Manual;;Hatch;;Mecxe2nica;4 portas;;8500;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559290182?xtmc=fiat+uno&xtnp=2&xtcr=2;
FIAT;UNO;mg;Preto;157000;;Flex;2008;Manual;Nxe3o;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Hidrxe1ulica;4 portas;alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;13000;https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-1-0-fire-flex-559290116?xtmc=fiat+uno&xtnp=2&xtcr=3;
FIAT;UNO;mg;Prata;39000;4;Flex;2008;Manual;;;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, alarme, som;17900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-fire-1-0-completo-km-39mil-554107957?xtmc=fiat+uno&xtnp=2&xtcr=5;
FIAT;UNO;mg;Cinza;94000;;Flex;2011;Manual;;Hatch;UNO WAY 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;vidro elxe9trico, trava elxe9trica, alarme, som;21900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-way-evo-1-0-557806994?xtmc=fiat+uno&xtnp=2&xtcr=6;
FIAT;UNO;mg;;26462;8;Flex;2018;Manual;;Passeio;UNO FURGxc3O 1.0 FIRE FLEX 8V 3P;;4 portas;air bag, air bag, ar condicionado, trava elxe9trica, vidro elxe9trico;32490;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-2017-2018-1-0-firefly-flex-drive-4p-manual-535207555?xtmc=fiat+uno&xtnp=2&xtcr=7;
FIAT;UNO;mg;Branco;41000;0;Flex;2017;Manual;Sim;Hatch;UNO ATTRACTIVE 1.0 FLEX 6V 5P;Elxe9trica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme, som;30200;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-uno-attractive-1-0-3-cilindros-flex-547121077?xtmc=fiat+uno&xtnp=2&xtcr=10;
FIAT;UNO;mg;Preto;50000;0;Flex;2012;Manual;Nxe3o;Passeio;UNO MILLE WAY ECONOMY 1.0 F.FLEX 4P;Mecxe2nica;4 portas;alarme, trava elxe9trica, vidro elxe9trico, som;20000;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-way-economy-1-0-559274314?xtmc=fiat+uno&xtnp=2&xtcr=11;
FIAT;;mg;;70000;3;Flex;2013;Manual;;;;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica;31900;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-4-evo-sporting-8v-flex-4p-2012-556557063?xtmc=fiat+uno&xtnp=2&xtcr=14;
