marca;modelo;estado;cor;quilometragem;end_tag;combustivel;ano;cambio;unico_dono;tipo;versao;direcao;portas;extra;preco;
FIAT;UNO;sp;Vermelho;155000;5;Gasolina;1996;Manual;Nxe3o;Antigo;UNO ATTRACTI. CELEB.1.4 EVO F.FLEX 8V 2P;Mecxe2nica;4 portas;alarme, trava elxe9trica, vidro elxe9trico, som;8500;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559294038?xtmc=fiat+uno&xtnp=2&xtcr=19
FIAT;UNO;sp;;43776;2;Flex;2016;Manual;;;UNO VIVACE/RUA 1.0 EVO FIRE FLEX 8V 5P;;4 portas;air bag;26900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-evo-vivace-8v-flex-4p-manual-554021976?xtmc=fiat+uno&xtnp=2&xtcr=20
FIAT;UNO;sp;;20964;6;Flex;2013;Manual;;;UNO VIVACE 1.0 EVO FIRE FLEX 8V 3P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, trava elxe9trica, vidro elxe9trico;24900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-evo-vivace-8v-flex-4p-manual-551275156?xtmc=fiat+uno&xtnp=2&xtcr=21
FIAT;UNO;sp;Prata;29000;1;Flex;2018;Manual;Sim;Hatch;UNO DRIVE 1.0 FLEX 6V 5P;Elxe9trica;4 portas;ar condicionado, trava elxe9trica, vidro elxe9trico;35900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-535079428?xtmc=fiat+uno&xtnp=2&xtcr=22
FIAT;UNO;sp;;30655;2;Flex;2018;Manual;;;;;4 portas;;36490;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-manual-530434534?xtmc=fiat+uno&xtnp=2&xtcr=23
FIAT;UNO;sp;;80763;2;Flex;2013;Manual;;;UNO WAY 1.0 EVO FIRE FLEX 8V 5P;;4 portas;alarme, direxe7xe3o hidrxe1ulica, trava elxe9trica, vidro elxe9trico;21990;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-evo-way-8v-flex-4p-manual-550335015?xtmc=fiat+uno&xtnp=2&xtcr=24
FIAT;UNO;sp;;68000;;Flex;2012;Manual;;;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;;4 portas;alarme, trava elxe9trica;18863;https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-2012-1-0-mpi-mille-fire-economy-8v-flex-4p-manual-554497209?xtmc=fiat+uno&xtnp=2&xtcr=25
FIAT;UNO;sp;;34465;9;Flex;2018;Manual;;;UNO DRIVE 1.0 FLEX 6V 5P;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica, air bag;32260;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-2017-559294363?xtmc=fiat+uno&xtnp=2&xtcr=26
FIAT;UNO;sp;Branco;54000;1;Flex;2017;Manual;Nxe3o;Hatch;UNO ATTRACTIVE 1.0 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som, sensor de rxe9;30000;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559292303?xtmc=fiat+uno&xtnp=2&xtcr=27
FIAT;UNO;sp;Vermelho;69990;4;Flex;2013;Manual;Nxe3o;Hatch;UNO WAY CELEB. 1.4 EVO FIRE FLEX 8V 5P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme;25900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-way-2013-motor-1-4-completo-552192603?xtmc=fiat+uno&xtnp=2&xtcr=28
